platform_code,station_date,latitude,longitude,dac
3901795,2025-02-12 18:44:40,-20.41655,-129.14534,AO
3902385,2025-02-12 18:47:44,-7.40889,-84.65946,AO
5906329,2025-02-12 18:57:21,-6.352,-98.573,AO
5906425,2025-02-12 19:02:05,-19.51103,153.55452,AO
5907041,2025-02-12 19:02:34,-47.14087,-92.8488,AO
1902448,2025-02-12 19:07:01,-40.16352,53.75662,AO
5907060,2025-02-12 19:13:53,-4.076,-84.316,AO
5906841,2025-02-12 19:14:57,0.93421,-169.35258,AO
7900961,2025-02-12 19:19:48,-66.02505,95.23876,CS
5906636,2025-02-12 19:27:00,-42.60643,139.1871,CS
1901805,2025-02-12 19:27:18,-17.5961,55.0175,AO
4902674,2025-02-12 19:32:00,40.86553,-64.17863,ME
6903790,2025-02-12 19:33:20,-65.28214,-112.28526,IF
7902009,2025-02-12 19:34:18,39.6396,-155.774,AO
2902764,2025-02-12 19:36:46,3.464,87.619,HZ
3902681,2025-02-12 19:38:00,63.03984,-13.85328,BO
5906994,2025-02-12 19:39:00,56.02741,-53.492,IF
5907087,2025-02-12 19:40:20,-67.99749,70.86107,IF
6904216,2025-02-12 19:44:20,45.55267,-9.09817,IF
4903758,2025-02-12 19:59:29,-0.019,-149.305,AO
1902260,2025-02-12 19:59:49,-59.03019,119.00425,AO
5906460,2025-02-12 20:01:18,-14.198,179.59,AO
4903279,2025-02-12 20:04:56,27.40219,-87.02303,AO
5906528,2025-02-12 20:08:11,-49.538,81.014,AO
2903469,2025-02-12 20:13:32,-41.1986,-5.5797,AO
5905768,2025-02-12 20:14:57,-1.74258,-160.16669,AO
5907053,2025-02-12 20:26:26,20.825,-114.775,AO
5905236,2025-02-12 20:28:54,-28.598,154.59137,AO
5905768,2025-02-12 20:34:05,-1.74213,-160.17015,AO
7902206,2025-02-12 20:37:24,-56.67348,178.05894,AO
5906432,2025-02-12 20:37:33,-37.08997,-170.94446,AO
1902275,2025-02-12 20:37:40,-36.58173,-3.17537,AO
6903105,2025-02-12 20:37:40,0.81011,-7.42675,IF
6903049,2025-02-12 20:41:30,-41.87083,-5.75955,IF
3902681,2025-02-12 20:46:00,63.03984,-13.85328,BO
5906646,2025-02-12 20:53:49,-24.496,161.358,CS
4903028,2025-02-12 21:01:59,-22.5016,37.7431,AO
5905576,2025-02-12 21:04:06,-29.5231,167.2579,CS
5906503,2025-02-12 21:19:19,20.3347,154.2575,AO
7902188,2025-02-12 21:24:20,83.62561,157.19724,IF
6904130,2025-02-12 21:25:20,-63.77467,-4.45542,IF
4903564,2025-02-12 21:28:29,25.4037,-29.0142,AO
6904207,2025-02-12 21:29:20,-63.07972,19.29194,IF
4902506,2025-02-12 21:30:00,64.84724,-30.57865,ME
4902508,2025-02-12 21:35:00,54.3878,-40.862,ME
4902513,2025-02-12 21:37:00,47.4672,-43.30527,ME
1902428,2025-02-12 21:37:18,8.64099,-51.98827,AO
4902512,2025-02-12 21:38:00,56.59304,-40.11187,ME
1902370,2025-02-12 21:38:50,5.82754,167.53678,AO
5904607,2025-02-12 21:38:54,-36.441,-152.925,AO
4903546,2025-02-12 21:46:11,19.54996,-94.58166,AO
4903346,2025-02-12 21:57:55,25.30224,-76.22449,AO
3902291,2025-02-12 22:04:25,-19.58353,-103.95772,AO
4903547,2025-02-12 22:12:29,23.42263,-90.85615,AO
7900674,2025-02-12 22:17:59,-69.41553,-100.56358,AO
4902475,2025-02-12 22:23:00,24.01831,-112.42921,ME
7900685,2025-02-12 22:26:21,-70.55137,-141.99516,AO
4902327,2025-02-12 22:28:05,18.92472,-119.85011,AO
2902899,2025-02-12 22:30:00,59.36,178.44,HZ
5906320,2025-02-12 22:33:59,-18.216,-122.294,AO
3902296,2025-02-12 22:39:03,-21.75198,-113.36321,AO
